Pin,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7
PA0,-,-,TIM2_CH1,TSC_G1_IO1,USART2_CTS,TIM2_ETR,-,COMP1_OUT
PA1,EVENTOUT,-,TIM2_CH2,TSC_G1_IO2,USART2_RTS,TIM21_ETR,-,-
PA2,TIM21_CH1,-,TIM2_CH3,TSC_G1_IO3,USART2_TX,-,-,COMP2_OUT
PA3,TIM21_CH2,-,TIM2_CH4,TSC_G1_IO4,USART2_RX,-,-,-
PA4,SPI1_NSS,-,-,TSC_G2_IO1,USART2_CK,TIM22_ETR,-,-
PA5,SPI1_SCK,-,TIM2_ETR,TSC_G2_IO2,TIM2_CH1,-,-,-
PA6,SPI1_MISO,-,-,TSC_G2_IO3,LPUART1_CTS,TIM22_CH1,EVENTOUT,COMP1_OUT
PA7,SPI1_MOSI,-,-,TSC_G2_IO4,TIM22_CH2,EVENTOUT,COMP2_OUT,
PA8,MCO,-,USB_CRS_SYNC,EVENTOUT,USART1_CK,-,-,-
PA9,MCO,-,-,TSC_G4_IO1,USART1_TX,-,-,-
PA10,-,-,-,TSC_G4_IO2,USART1_RX,-,-,-
PA11,SPI1_MISO,-,EVENTOUT,TSC_G4_IO3,USART1_CTS,-,-,COMP1_OUT
PA12,SPI1_MOSI,-,EVENTOUT,TSC_G4_IO4,USART1_RTS,-,-,COMP2_OUT
PA13,SWDIO,-,USB_NOE,-,-,-,-,-
PA14,SWCLK,-,-,-,USART2_TX,-,-,-
PA15,SPI1_NSS,-,TIM2_ETR,EVENTOUT,USART2_RX,TIM2_CH1,-,-
PB0,EVENTOUT,-,-,TSC_G3_IO2,-,-,-,-
PB1,-,-,-,TSC_G3_IO3,LPUART1_RTS,-,-,-
PB2,-,-,LPTIM1_OUT,TSC_G3_IO4,-,-,-,-
PB3,SPI1_SCK,-,TIM2_CH2,TSC_G5I_O1,EVENTOUT,-,-,-
PB4,SPI1_MISO,-,EVENTOUT,TSC_G5_IO2,TIM22_CH1,-,-,-
PB5,SPI1_MOSI,-,LPTIM1_IN1,I2C1_SMBA,TIM22_CH2,-,-,-
PB6,USART1_TX,I2C1_SCL,LPTIM1_ETR,TSC_G5_IO3,-,-,-,-
PB7,USART1_RX,I2C1_SDA,LPTIM1_IN2,TSC_G5_IO4,-,-,-,-
PB8,-,-,-,TSC_SYNC,I2C1_SCL,-,-,-
PB9,-,-,EVENTOUT,-,I2C1_SDA,SPI2_NSS,-,-
PB10,-,-,TIM2_CH3,TSC_SYNC,LPUART1_TX,SPI2_SCK,I2C2_SCL,-
PB11,EVENTOUT,-,TIM2_CH4,TSC_G6_IO1,LPUART1_RX,-,I2C2_SDA,-
PB12,SPI2_NSS,-,LPUART1_RTS,TSC_G6_IO2,-,I2C2_SMBA,EVENTOUT,-
PB13,SPI2_SCK,-,-,TSC_G6_IO3,LPUART1_CTS,I2C2_SCL,TIM21_CH1,-
PB14,SPI2_MISO,-,RTC_OUT,TSC_G6_IO4,LPUART1_RTS,I2C2_SDA,TIM21_CH2,-
PB15,SPI2_MOSI,-,RTC_REFIN,-,-,-,-,-
PC0,LPTIM1_IN1,-,EVENTOUT,TSC_G7_IO1,-,-,-,-
PC1,LPTIM1_OUT,-,EVENTOUT,TSC_G7_IO2,-,-,-,-
PC2,LPTIM1_IN2,-,SPI2_MISO,TSC_G7_IO3,-,-,-,-
PC3,LPTIM1_ETR,-,SPI2_MOSI,TSC_G7_IO4,-,-,-,-
PC4,EVENTOUT,-,LPUART1_TX,-,-,-,-,-
PC5,-,-,LPUART1_RX,TSC_G3_IO1,-,-,-,-
PC6,TIM22_CH1,-,-,TSC_G8_IO1,-,-,-,-
PC7,TIM22_CH2,-,-,TSC_G8_IO2,-,-,-,-
PC8,TIM22_ETR,-,-,TSC_G8_IO3,-,-,-,-
PC9,TIM21_ETR,-,USB_NOE,TSC_G8_IO4,-,-,-,-
PC10,LPUART1_TX,-,-,-,-,-,-,-
PC11,LPUART1_RX,-,-,-,-,-,-,-
PC12,-,-,-,-,-,-,-,-
PC13,-,-,-,-,-,-,-,-
PC14,-,-,-,-,-,-,-,-
PC15,-,-,-,-,-,-,-,-
